
> performance-backend@1.0.0 dev
> ts-node src/index.ts

[dotenv@17.2.3] injecting env (12) from .env -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
[dotenv@17.2.3] injecting env (0) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
✅ 使用内存数据库（仅测试/演示）
📦 初始化内存数据库...
✅ 内存数据库已初始化
📝 开始初始化员工数据...
  📊 内存数据库中共有 172 名员工
✅ 成功初始化 172 名员工

🚀 服务器启动成功
📍 地址: http://localhost:3001
📚 API文档: http://localhost:3001/health

2026-01-29T14:33:13.321Z - POST /api/auth/login
2026-01-29T14:33:13.392Z - GET /api/employees
2026-01-29T14:45:29.433Z - POST /api/auth/login
2026-01-29T14:45:29.516Z - GET /api/employees
2026-01-29T14:45:29.519Z - GET /api/performance/month/2026-01
2026-01-29T14:45:29.522Z - GET /api/employees
2026-01-29T14:45:29.523Z - GET /api/performance/month/2026-01
2026-01-29T14:45:54.693Z - POST /api/auth/login
2026-01-29T14:45:54.768Z - GET /api/employees/subordinates
2026-01-29T14:45:54.769Z - GET /api/performance/team-records
2026-01-29T14:45:54.770Z - GET /api/employees/subordinates
2026-01-29T14:45:54.771Z - GET /api/performance/team-records
2026-01-29T14:45:58.918Z - GET /api/employees/subordinates
2026-01-29T14:45:58.920Z - GET /api/employees/subordinates
2026-01-29T14:45:58.921Z - GET /api/performance/team-records
2026-01-29T14:45:58.922Z - GET /api/performance/team-records
2026-01-29T14:46:17.219Z - GET /api/performance/team-records
2026-01-29T14:46:17.220Z - GET /api/performance/team-records
2026-01-29T14:46:42.536Z - GET /api/employees/subordinates
2026-01-29T14:46:42.537Z - GET /api/performance/team-records
2026-01-29T14:46:42.538Z - GET /api/employees/subordinates
2026-01-29T14:46:42.539Z - GET /api/performance/team-records
2026-01-29T14:46:43.915Z - GET /api/employees/subordinates
2026-01-29T14:46:43.916Z - GET /api/performance/team-records
2026-01-29T14:46:43.916Z - GET /api/employees/subordinates
2026-01-29T14:46:43.916Z - GET /api/performance/team-records
2026-01-29T14:46:49.667Z - GET /api/performance/team-records
2026-01-29T14:46:49.668Z - GET /api/performance/team-records
2026-01-29T14:47:59.640Z - GET /api/employees/subordinates
2026-01-29T14:47:59.641Z - GET /api/performance/team-records
2026-01-29T14:47:59.641Z - GET /api/employees/subordinates
2026-01-29T14:47:59.642Z - GET /api/performance/team-records
2026-01-29T14:48:01.141Z - GET /api/employees/subordinates
2026-01-29T14:48:01.142Z - GET /api/performance/team-records
2026-01-29T14:48:01.142Z - GET /api/employees/subordinates
2026-01-29T14:48:01.143Z - GET /api/performance/team-records
2026-01-29T14:48:03.047Z - GET /api/employees/subordinates
2026-01-29T14:48:03.048Z - GET /api/performance/team-records
2026-01-29T14:48:03.049Z - GET /api/employees/subordinates
2026-01-29T14:48:03.050Z - GET /api/performance/team-records
2026-01-29T14:48:03.778Z - GET /api/employees/subordinates
2026-01-29T14:48:03.780Z - GET /api/performance/team-records
2026-01-29T14:48:03.781Z - GET /api/employees/subordinates
2026-01-29T14:48:03.782Z - GET /api/performance/team-records
2026-01-29T14:48:04.973Z - GET /api/employees/subordinates
2026-01-29T14:48:04.974Z - GET /api/performance/team-records
2026-01-29T14:48:04.975Z - GET /api/employees/subordinates
2026-01-29T14:48:04.975Z - GET /api/performance/team-records
2026-01-29T14:48:15.017Z - POST /api/auth/login
2026-01-29T14:48:15.119Z - GET /api/employees/subordinates
2026-01-29T14:48:15.119Z - GET /api/performance/team-records
2026-01-29T14:48:15.120Z - GET /api/employees/subordinates
2026-01-29T14:48:15.120Z - GET /api/performance/team-records
2026-01-29T14:48:16.932Z - GET /api/employees/subordinates
2026-01-29T14:48:16.933Z - GET /api/performance/team-records
2026-01-29T14:48:16.934Z - GET /api/employees/subordinates
2026-01-29T14:48:16.934Z - GET /api/performance/team-records
2026-01-29T14:48:26.956Z - GET /api/performance/team-records
2026-01-29T14:48:26.957Z - GET /api/performance/team-records
2026-01-29T14:48:59.860Z - GET /api/performance/team-records
2026-01-29T14:48:59.861Z - GET /api/performance/team-records
2026-01-29T14:50:10.692Z - GET /api/performance/team-records
2026-01-29T14:50:10.693Z - GET /api/employees/subordinates
2026-01-29T14:50:10.695Z - GET /api/employees/subordinates
2026-01-29T14:50:10.695Z - GET /api/performance/team-records
2026-01-29T14:50:11.768Z - GET /api/employees/subordinates
2026-01-29T14:50:11.769Z - GET /api/performance/team-records
2026-01-29T14:50:11.769Z - GET /api/employees/subordinates
2026-01-29T14:50:11.769Z - GET /api/performance/team-records
2026-01-29T14:50:13.165Z - GET /api/performance/team-records
2026-01-29T14:50:13.166Z - GET /api/performance/team-records
2026-01-29T14:51:32.365Z - GET /api/employees/subordinates
2026-01-29T14:51:32.365Z - GET /api/performance/team-records
2026-01-29T14:51:32.366Z - GET /api/employees/subordinates
2026-01-29T14:51:32.366Z - GET /api/performance/team-records
2026-01-29T14:51:33.172Z - GET /api/employees/subordinates
2026-01-29T14:51:33.173Z - GET /api/employees/subordinates
2026-01-29T14:51:33.173Z - GET /api/performance/team-records
2026-01-29T14:51:33.175Z - GET /api/performance/team-records
2026-01-29T14:51:35.406Z - GET /api/employees/subordinates
2026-01-29T14:51:35.407Z - GET /api/performance/team-records
2026-01-29T14:51:35.407Z - GET /api/employees/subordinates
2026-01-29T14:51:35.408Z - GET /api/performance/team-records
2026-01-29T14:51:36.640Z - GET /api/employees/subordinates
2026-01-29T14:51:36.641Z - GET /api/performance/team-records
2026-01-29T14:51:36.642Z - GET /api/employees/subordinates
2026-01-29T14:51:36.643Z - GET /api/performance/team-records
2026-01-29T14:51:38.137Z - GET /api/employees/subordinates
2026-01-29T14:51:38.137Z - GET /api/performance/team-records
2026-01-29T14:51:38.138Z - GET /api/employees/subordinates
2026-01-29T14:51:38.138Z - GET /api/performance/team-records
2026-01-29T14:51:39.745Z - GET /api/performance
2026-01-29T14:51:43.291Z - GET /api/performance/team/e001
2026-01-29T14:51:47.586Z - GET /api
2026-01-29T14:51:48.582Z - POST /api/auth/login
2026-01-29T14:51:48.684Z - GET /api/employees/subordinates
2026-01-29T14:51:48.685Z - GET /api/performance/team-records
2026-01-29T14:51:48.685Z - GET /api/employees/subordinates
2026-01-29T14:51:48.686Z - GET /api/performance/team-records
2026-01-29T14:51:52.437Z - GET /api/employees/subordinates
2026-01-29T14:51:52.438Z - GET /api/performance/team-records
2026-01-29T14:51:52.438Z - GET /api/employees/subordinates
2026-01-29T14:51:52.439Z - GET /api/performance/team-records
2026-01-29T14:52:01.394Z - POST /api/auth/login
2026-01-29T14:52:05.687Z - POST /api/auth/login
2026-01-29T14:52:13.063Z - POST /api/auth/login
2026-01-29T14:52:17.876Z - GET /api/performance/team-records
2026-01-29T14:52:22.587Z - POST /api/auth/login
2026-01-29T14:52:26.401Z - GET /api/employees
2026-01-29T14:52:30.274Z - GET /api/employees
2026-01-29T14:53:35.670Z - GET /api/employees/subordinates
2026-01-29T14:53:35.671Z - GET /api/performance/team-records
2026-01-29T14:53:35.672Z - GET /api/employees/subordinates
2026-01-29T14:53:35.672Z - GET /api/performance/team-records
2026-01-29T14:55:03.839Z - GET /api/performance/team-records
2026-01-29T14:55:03.842Z - GET /api/employees/subordinates
2026-01-29T14:55:11.835Z - GET /api/employees/subordinates
2026-01-29T14:55:11.836Z - GET /api/performance/team-records
2026-01-29T14:56:38.305Z - POST /api/auth/login
2026-01-29T14:56:38.404Z - GET /api/employees/subordinates
2026-01-29T14:56:38.405Z - GET /api/performance/team-records
2026-01-29T14:56:38.405Z - GET /api/employees/subordinates
2026-01-29T14:56:38.406Z - GET /api/performance/team-records
2026-01-29T15:01:15.921Z - GET /api/performance/team-records
2026-01-29T15:01:15.923Z - GET /api/employees/e004
2026-01-29T15:01:15.927Z - GET /api/performance/team-records
2026-01-29T15:01:15.927Z - GET /api/employees/e004
2026-01-29T15:01:15.944Z - GET /api/employees/e004
2026-01-29T15:01:28.521Z - POST /api/performance/create-empty-record
2026-01-29T15:01:28.535Z - POST /api/performance/score
2026-01-29T15:01:28.574Z - GET /api/performance/team-records
2026-01-29T15:04:02.520Z - GET /api/performance/team-records
2026-01-29T15:04:02.521Z - GET /api/employees/subordinates
2026-01-29T15:04:13.606Z - GET /api/employees/subordinates
2026-01-29T15:04:13.607Z - GET /api/performance/team-records
2026-01-29T15:04:24.433Z - GET /api/employees/subordinates
2026-01-29T15:04:24.433Z - GET /api/performance/team-records
2026-01-29T15:04:24.434Z - GET /api/employees/subordinates
2026-01-29T15:04:24.435Z - GET /api/performance/team-records
2026-01-29T15:04:33.042Z - GET /api/employees/subordinates
2026-01-29T15:04:33.044Z - GET /api/performance/team-records
2026-01-29T15:04:33.044Z - GET /api/employees/subordinates
2026-01-29T15:04:33.044Z - GET /api/performance/team-records
2026-01-29T15:04:42.059Z - GET /api/employees/e009
2026-01-29T15:04:42.061Z - GET /api/employees/subordinates
2026-01-29T15:04:42.061Z - GET /api/performance/team-records
2026-01-29T15:04:42.061Z - GET /api/employees/subordinates
2026-01-29T15:04:42.061Z - GET /api/employees/e009
2026-01-29T15:04:42.062Z - GET /api/performance/team-records
2026-01-29T15:04:53.846Z - POST /api/performance/create-empty-record
2026-01-29T15:04:53.852Z - POST /api/performance/score
2026-01-29T15:04:53.897Z - GET /api/performance/team-records
2026-01-29T15:05:38.901Z - GET /api/employees/subordinates
2026-01-29T15:05:38.903Z - GET /api/performance/team-records
2026-01-29T15:05:38.904Z - GET /api/employees/subordinates
2026-01-29T15:05:38.904Z - GET /api/performance/team-records
2026-01-29T15:07:13.506Z - GET /api/employees/subordinates
2026-01-29T15:07:13.508Z - GET /api/performance/team-records
2026-01-29T15:07:13.509Z - GET /api/employees/subordinates
2026-01-29T15:07:13.510Z - GET /api/performance/team-records
2026-01-29T15:07:15.909Z - GET /api/employees/subordinates
2026-01-29T15:07:15.910Z - GET /api/performance/team-records
2026-01-29T15:07:15.910Z - GET /api/employees/subordinates
2026-01-29T15:07:15.911Z - GET /api/performance/team-records
2026-01-29T15:11:01.607Z - GET /api/employees/subordinates
2026-01-29T15:11:01.610Z - GET /api/performance/team-records
2026-01-29T15:11:01.611Z - GET /api/employees/subordinates
2026-01-29T15:11:01.611Z - GET /api/performance/team-records
2026-01-29T15:11:12.622Z - GET /api/employees/subordinates
2026-01-29T15:11:12.623Z - GET /api/performance/team-records
2026-01-29T15:11:12.623Z - GET /api/employees/subordinates
2026-01-29T15:11:12.624Z - GET /api/performance/team-records
2026-01-29T15:12:31.326Z - GET /api/employees/subordinates
2026-01-29T15:12:31.328Z - GET /api/performance/team-records
2026-01-29T15:12:31.329Z - GET /api/employees/subordinates
2026-01-29T15:12:31.332Z - GET /api/performance/team-records
2026-01-29T15:12:32.193Z - GET /api/employees/subordinates
2026-01-29T15:12:32.194Z - GET /api/performance/team-records
2026-01-29T15:12:32.194Z - GET /api/employees/subordinates
2026-01-29T15:12:32.195Z - GET /api/performance/team-records
2026-01-29T15:12:32.888Z - GET /api/employees/subordinates
2026-01-29T15:12:32.889Z - GET /api/performance/team-records
2026-01-29T15:12:32.889Z - GET /api/employees/subordinates
2026-01-29T15:12:32.890Z - GET /api/performance/team-records
2026-01-29T15:12:33.131Z - GET /api/employees/subordinates
2026-01-29T15:12:33.132Z - GET /api/performance/team-records
2026-01-29T15:12:33.133Z - GET /api/employees/subordinates
2026-01-29T15:12:33.133Z - GET /api/performance/team-records
2026-01-29T15:12:34.250Z - GET /api/employees/subordinates
2026-01-29T15:12:34.251Z - GET /api/performance/team-records
2026-01-29T15:12:34.253Z - GET /api/employees/subordinates
2026-01-29T15:12:34.253Z - GET /api/performance/team-records
2026-01-29T15:12:36.528Z - GET /api/employees/subordinates
2026-01-29T15:12:36.529Z - GET /api/employees/subordinates
2026-01-29T15:12:36.530Z - GET /api/performance/team-records
2026-01-29T15:12:36.531Z - GET /api/employees/e020
2026-01-29T15:12:36.532Z - GET /api/performance/team-records
2026-01-29T15:12:36.532Z - GET /api/employees/e020
2026-01-29T15:12:36.570Z - GET /api/employees/e020
2026-01-29T15:13:01.532Z - GET /api/employees/subordinates
2026-01-29T15:13:01.533Z - GET /api/performance/team-records
2026-01-29T15:13:01.534Z - GET /api/employees/subordinates
2026-01-29T15:13:01.534Z - GET /api/performance/team-records
2026-01-29T15:13:02.106Z - GET /api/employees/subordinates
2026-01-29T15:13:02.107Z - GET /api/performance/team-records
2026-01-29T15:13:02.107Z - GET /api/employees/subordinates
2026-01-29T15:13:02.108Z - GET /api/performance/team-records
2026-01-29T15:13:18.643Z - GET /api/employees/subordinates
2026-01-29T15:13:18.644Z - GET /api/performance/team-records
2026-01-29T15:13:18.645Z - GET /api/employees/subordinates
2026-01-29T15:13:18.645Z - GET /api/performance/team-records
2026-01-29T15:13:25.961Z - GET /api/performance/team-records
2026-01-29T15:13:25.962Z - GET /api/employees/subordinates
2026-01-29T15:13:25.963Z - GET /api/performance/team-records
2026-01-29T15:13:25.963Z - GET /api/employees/subordinates
2026-01-29T15:14:59.336Z - GET /api/employees/subordinates
2026-01-29T15:14:59.338Z - GET /api/performance/team-records
2026-01-29T15:14:59.338Z - GET /api/employees/subordinates
2026-01-29T15:14:59.339Z - GET /api/performance/team-records
2026-01-29T15:15:09.780Z - POST /api/auth/login
2026-01-29T15:15:09.890Z - GET /api/employees/subordinates
2026-01-29T15:15:09.890Z - GET /api/performance/team-records
2026-01-29T15:15:09.891Z - GET /api/employees/subordinates
2026-01-29T15:15:09.892Z - GET /api/performance/team-records
2026-01-29T15:15:14.522Z - GET /api/employees/subordinates
2026-01-29T15:15:14.523Z - GET /api/employees/subordinates
2026-01-29T15:15:14.526Z - GET /api/performance/team-records
2026-01-29T15:15:14.527Z - GET /api/performance/team-records
2026-01-29T15:16:58.867Z - POST /api/auth/login
2026-01-29T15:17:07.461Z - GET /api/performance/team-records
2026-01-29T15:17:11.529Z - POST /api/auth/login
2026-01-29T15:17:16.778Z - GET /api/performance/team-records
